cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
117,0.18645000457763672,0.18804359436035156,0.03650426477713601,0.10111986304649308,0.14494254161786335
118,0.18804359436035156,0.1896371841430664,0.03574855147785504,0.101522526166354,0.14657560432838038
119,0.1896371841430664,0.19123077392578125,0.0349895079906843,0.1019443986729226,0.1482149635387314
120,0.19123077392578125,0.1928243637084961,0.034227283563461934,0.10238625229934449,0.14986057352535834
121,0.1928243637084961,0.19441795349121094,0.033462032973297924,0.1028488674942775,0.1515123870800845
122,0.19441795349121094,0.19601154327392578,0.03269391653024633,0.10333303301746372,0.15317035549485067
123,0.19601154327392578,0.19760513305664062,0.03192310007456498,0.10383954551240997,0.15483442854664825
124,0.19760513305664062,0.19919872283935547,0.03114975496732362,0.10436920905588039,0.1565045544826533
125,0.19919872283935547,0.2007923126220703,0.030374058074105727,0.10492283468384547,0.1581806800055801
126,0.2007923126220703,0.20238590240478516,0.029596191741556574,0.10550123989358541,0.15986275025926436
127,0.20238590240478516,0.2039794921875,0.028816343766525174,0.10610524812163626,0.1615507088144896
128,0.2039794921875,0.20557308197021484,0.02803470735756174,0.10673568819736728,0.16324449765506827
129,0.20557308197021484,0.2071666717529297,0.02725148108851543,0.10739339377189351,0.16494405716419275
130,0.2071666717529297,0.20876026153564453,0.026466868843994244,0.10807920272213471,0.1666493261110694
131,0.20876026153564453,0.21035385131835938,0.025681079756450665,0.10879395652986298,0.16836024163784574
132,0.21035385131835938,0.21194744110107422,0.02489432813464354,0.10953849963550573,0.1700767392468528
133,0.21194744110107422,0.21354103088378906,0.024106833383257437,0.11031367876666055,0.1717987527881667
134,0.21354103088378906,0.2151346206665039,0.023318819913444554,0.11112034224118894,0.17352621444751015
